"Ano";"Mês";"Valor US$ FOB"
"2024";"07. Julho";"30918715542"
"2024";"06. Junho";"28765837681"
"2024";"05. Maio";"30201131724"
"2024";"04. Abril";"30478230672"
"2024";"03. Março";"27710733643"
"2024";"02. Fevereiro";"23419224682"
"2024";"01. Janeiro";"26708385192"
"2023";"12. Dezembro";"28786226565"
"2023";"11. Novembro";"27886116219"
"2023";"10. Outubro";"29681867318"
"2023";"09. Setembro";"28713085056"
"2023";"08. Agosto";"31101089774"
"2023";"07. Julho";"28300073730"
"2023";"06. Junho";"29600309149"
"2023";"05. Maio";"32666140787"
"2023";"04. Abril";"27100302410"
"2023";"03. Março";"32822911866"
"2023";"02. Fevereiro";"20241628657"
"2023";"01. Janeiro";"22796014477"
"2022";"12. Dezembro";"26342396058"
"2022";"11. Novembro";"27652303451"
"2022";"10. Outubro";"26852476461"
"2022";"09. Setembro";"28587334142"
"2022";"08. Agosto";"30786908834"
"2022";"07. Julho";"29844324640"
"2022";"06. Junho";"32742194543"
"2022";"05. Maio";"29642851197"
"2022";"04. Abril";"28969694687"
"2022";"03. Março";"29422320196"
"2022";"02. Fevereiro";"23513305117"
"2022";"01. Janeiro";"19779928894"
"2021";"12. Dezembro";"24432406778"
"2021";"11. Novembro";"20501766210"
"2021";"10. Outubro";"22602637234"
"2021";"09. Setembro";"24376129510"
"2021";"08. Agosto";"27216375900"
"2021";"07. Julho";"25508595503"
"2021";"06. Junho";"28257895138"
"2021";"05. Maio";"26200662606"
"2021";"04. Abril";"26059431856"
"2021";"03. Março";"24335759852"
"2021";"02. Fevereiro";"16375290870"
"2021";"01. Janeiro";"14947626003"
"2020";"12. Dezembro";"18451708927"
"2020";"11. Novembro";"17344900538"
"2020";"10. Outubro";"17649335596"
"2020";"09. Setembro";"18223387712"
"2020";"08. Agosto";"17403775488"
"2020";"07. Julho";"19416007176"
"2020";"06. Junho";"17478971342"
"2020";"05. Maio";"17519841090"
"2020";"04. Abril";"17593798650"
"2020";"03. Março";"18312350349"
"2020";"02. Fevereiro";"15356449520"
"2020";"01. Janeiro";"14429715267"
"2019";"12. Dezembro";"18463268592"
"2019";"11. Novembro";"17609813357"
"2019";"10. Outubro";"19483912811"
"2019";"09. Setembro";"18620814373"
"2019";"08. Agosto";"19565551588"
"2019";"07. Julho";"19920683762"
"2019";"06. Junho";"18306721692"
"2019";"05. Maio";"20500498556"
"2019";"04. Abril";"19090646313"
"2019";"03. Março";"17308721624"
"2019";"02. Fevereiro";"15618080347"
"2019";"01. Janeiro";"16638094632"
"2018";"12. Dezembro";"19257634148"
"2018";"11. Novembro";"19199739213"
"2018";"10. Outubro";"21671364889"
"2018";"09. Setembro";"19041023535"
"2018";"08. Agosto";"20084138252"
"2018";"07. Julho";"21055288607"
"2018";"06. Junho";"19830021392"
"2018";"05. Maio";"19271601072"
"2018";"04. Abril";"19678336251"
"2018";"03. Março";"20228663646"
"2018";"02. Fevereiro";"15801987736"
"2018";"01. Janeiro";"16769724658"
"2017";"12. Dezembro";"17476274644"
"2017";"11. Novembro";"16584235219"
"2017";"10. Outubro";"18694329848"
"2017";"09. Setembro";"18533214138"
"2017";"08. Agosto";"19336799997"
"2017";"07. Julho";"17658900096"
"2017";"06. Junho";"19535151809"
"2017";"05. Maio";"19726040175"
"2017";"04. Abril";"17484572350"
"2017";"03. Março";"19854737707"
"2017";"02. Fevereiro";"15275976600"
"2017";"01. Janeiro";"14827875770"
"2016";"12. Dezembro";"15773205272"
"2016";"11. Novembro";"14212824778"
"2016";"10. Outubro";"13594442203"
"2016";"09. Setembro";"15684375284"
"2016";"08. Agosto";"16863031142"
"2016";"07. Julho";"15142715725"
"2016";"06. Junho";"16602945756"
"2016";"05. Maio";"16596334743"
"2016";"04. Abril";"15082231392"
"2016";"03. Março";"15845539947"
"2016";"02. Fevereiro";"13103865483"
"2016";"01. Janeiro";"11024617489"
"2015";"12. Dezembro";"15694230026"
"2015";"11. Novembro";"13603593709"
"2015";"10. Outubro";"15762365201"
"2015";"09. Setembro";"15467635572"
"2015";"08. Agosto";"15320171814"
"2015";"07. Julho";"18334876601"
"2015";"06. Junho";"18746127441"
"2015";"05. Maio";"16625676410"
"2015";"04. Abril";"14986768884"
"2015";"03. Março";"16748831110"
"2015";"02. Fevereiro";"12010576962"
"2015";"01. Janeiro";"13481501333"
"2014";"12. Dezembro";"17289831724"
